"Points : 0", "Points : 1", "Points : 2","i", "j", "k","active : 0", "active : 1", "active : 2"
-5, -2, -0.1, 0, 0, 0, 0, 0, 0
-4.775510204081633, -2, -0.1, 1, 0, 0, 0, 0, 0
-4.551020408163265, -2, -0.1, 2, 0, 0, 0, 0, 0
-4.326530612244898, -2, -0.1, 3, 0, 0, 0, 0, 0
-4.102040816326531, -2, -0.1, 4, 0, 0, 0, 0, 0
-3.877551020408163, -2, -0.1, 5, 0, 0, 0, 0, 0
-3.653061224489796, -2, -0.1, 6, 0, 0, 0, 0, 0
-3.428571428571429, -2, -0.1, 7, 0, 0, 0, 0, 0
-3.204081632653061, -2, -0.1, 8, 0, 0, 0, 0, 0
-2.979591836734694, -2, -0.1, 9, 0, 0, 0, 0, 0
-2.755102040816326, -2, -0.1, 10, 0, 0, 0, 0, 0
-2.530612244897959, -2, -0.1, 11, 0, 0, 0, 0, 0
-2.306122448979592, -2, -0.1, 12, 0, 0, 0, 0, 0
-2.081632653061224, -2, -0.1, 13, 0, 0, 0, 0, 0
-1.857142857142857, -2, -0.1, 14, 0, 0, 0, 0, 0
-1.63265306122449, -2, -0.1, 15, 0, 0, 0, 0, 0
-1.408163265306123, -2, -0.1, 16, 0, 0, 0, 0, 0
-1.183673469387755, -2, -0.1, 17, 0, 0, 0, 0, 0
-0.9591836734693873, -2, -0.1, 18, 0, 0, 0, 0, 0
-0.7346938775510203, -2, -0.1, 19, 0, 0, 0, 0, 0
-0.5102040816326525, -2, -0.1, 20, 0, 0, 0, 0, 0
-0.2857142857142856, -2, -0.1, 21, 0, 0, 0, 0, 0
-0.06122448979591866, -2, -0.1, 22, 0, 0, 0, 0, 0
0.1632653061224492, -2, -0.1, 23, 0, 0, 0, 0, 0
0.3877551020408161, -2, -0.1, 24, 0, 0, 0, 0, 0
0.6122448979591839, -2, -0.1, 25, 0, 0, 0, 0, 0
0.8367346938775517, -2, -0.1, 26, 0, 0, 0, 0, 0
1.061224489795918, -2, -0.1, 27, 0, 0, 0, 0, 0
1.285714285714286, -2, -0.1, 28, 0, 0, 0, 0, 0
1.510204081632653, -2, -0.1, 29, 0, 0, 0, 0, 0
1.73469387755102, -2, -0.1, 30, 0, 0, 0, 0, 0
1.959183673469388, -2, -0.1, 31, 0, 0, 0, 0, 0
2.183673469387754, -2, -0.1, 32, 0, 0, 0, 0, 0
2.408163265306122, -2, -0.1, 33, 0, 0, 0, 0, 0
2.63265306122449, -2, -0.1, 34, 0, 0, 0, 0, 0
